bin,odor,rest,arousal,motor_approach,motor_avoid
0,0,0,0.000,41,36
1,0,0,0.000,16,52
2,0,0,0.000,14,54
3,0,0,0.000,11,57
4,0,0,0.000,8,59
5,0,0,0.000,18,49
6,0,0,0.000,28,38
7,0,0,0.000,16,47
8,0,0,0.000,23,44
9,0,0,0.000,22,39
10,0,0,0.000,28,47
11,0,0,0.000,25,39
12,0,0,0.000,45,17
13,0,0,0.000,43,19
14,0,0,0.000,50,19
15,0,0,0.000,40,28
16,0,0,0.000,34,28
17,0,0,0.000,36,24
18,0,0,0.000,45,21
19,0,0,0.000,49,17
20,0,0,0.000,48,18
21,0,0,0.000,43,24
22,0,0,0.000,49,20
23,0,0,0.000,53,14
24,0,0,0.000,50,15
25,0,0,0.000,40,22
26,0,0,0.000,33,30
27,0,0,0.000,59,8
28,0,0,0.000,55,8
29,0,0,0.000,55,12
30,0,0,0.000,53,6
31,0,0,0.000,59,10
32,0,0,0.000,52,18
33,0,1,0.000,14,29
34,0,1,0.000,7,19
35,0,1,0.000,7,21
36,0,1,0.000,13,22
37,0,1,0.000,6,24
38,0,1,0.000,10,13
39,0,1,0.000,14,12
40,0,1,0.000,15,13
41,0,1,0.000,9,12
42,0,1,0.000,15,15
43,0,1,0.000,11,10
44,0,1,0.000,16,16
45,0,1,0.000,10,17
46,0,1,0.000,7,21
47,0,1,0.000,11,19
48,0,0,0.000,16,28
49,0,0,0.000,24,33
50,0,0,0.000,12,53
51,0,0,0.000,21,39
52,0,0,0.000,32,37
53,0,0,0.000,33,31
54,0,0,0.000,28,32
55,0,0,0.000,31,33
56,0,0,0.000,34,28
57,0,0,0.000,36,24
58,0,0,0.000,42,23
59,0,0,0.000,41,21
60,1,0,0.000,27,34
61,1,0,0.000,32,29
62,1,0,0.000,37,26
63,1,0,0.000,27,36
64,1,0,0.000,36,26
65,1,0,0.000,32,28
66,1,0,0.000,38,31
67,1,0,0.000,39,32
68,1,0,0.000,38,26
69,1,0,0.000,42,19
70,1,0,0.000,35,31
71,1,0,0.000,39,24
72,1,0,0.000,42,20
73,1,0,0.000,41,25
74,1,0,0.000,37,24
75,1,0,0.000,34,31
76,1,0,0.000,35,30
77,1,0,0.000,32,27
78,1,0,0.000,36,23
79,1,0,0.000,36,21
80,1,0,0.000,40,26
81,1,0,0.000,45,24
82,1,0,0.000,39,27
83,1,0,0.000,32,30
84,1,0,0.000,40,25
85,1,0,0.000,43,20
86,1,0,0.000,42,21
87,1,0,0.000,40,27
88,1,0,0.000,44,16
89,1,0,0.000,39,24
90,1,0,0.000,43,21
91,1,0,0.000,31,32
92,1,0,0.000,42,25
93,1,0,0.000,39,28
94,1,0,0.000,34,33
95,1,0,0.000,37,32
96,1,0,0.000,42,23
97,1,0,0.000,44,16
98,1,0,0.000,41,26
99,1,0,0.000,33,30
100,1,0,0.000,40,27
101,1,0,0.000,30,34
102,1,0,0.000,42,22
103,1,0,0.000,40,20
104,1,1,0.000,30,14
105,1,0,0.000,35,17
106,1,0,0.000,41,24
107,1,0,0.000,36,27
108,1,0,0.000,42,18
109,1,0,0.000,33,29
110,1,0,0.000,38,24
111,1,0,0.000,43,17
112,1,0,0.000,43,26
113,1,0,0.000,44,22
114,1,0,0.000,39,26
115,1,0,0.000,42,19
116,1,0,0.000,36,32
117,1,0,0.000,45,15
118,1,0,0.000,44,25
119,1,0,0.000,43,19
