trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,0,1,-1.0,0.614977,0.103022,0.078500,0
2,0,1,-1.0,0.559925,0.052989,0.062000,0
3,1,1,1.0,0.584040,0.074664,0.096500,1
4,0,0,0.0,0.528046,0.024706,0.082500,1
5,1,1,0.0,0.619855,0.107565,0.089500,1
6,0,0,0.0,0.535922,0.031666,0.069000,1
7,0,0,0.0,0.556609,0.050030,0.075000,1
8,1,0,0.0,0.608009,0.096569,0.083500,0
9,0,1,-1.0,0.560589,0.053581,0.089500,0
10,1,0,0.0,0.611726,0.100006,0.089000,0
11,1,1,1.0,0.623094,0.110594,0.086500,1
12,0,0,0.0,0.460753,-0.034608,0.083500,1
13,0,1,0.0,0.471821,-0.024824,0.079500,0
14,1,1,0.0,0.648263,0.134511,0.083500,1
15,1,1,1.0,0.648826,0.135054,0.091000,1
16,1,0,0.0,0.663974,0.149832,0.089000,0
17,0,0,0.0,0.499802,-0.000174,0.080500,1
18,0,0,0.0,0.506943,0.006111,0.076500,1
19,1,1,1.0,0.667442,0.153260,0.076000,1
20,1,0,0.0,0.693934,0.180087,0.085000,0
21,1,0,0.0,0.682636,0.168501,0.087500,0
22,1,0,0.0,0.704186,0.190809,0.083500,0
23,0,1,-1.0,0.523529,0.020721,0.066000,0
24,1,1,1.0,0.666720,0.152545,0.092500,1
25,1,1,1.0,0.717534,0.205098,0.076500,1
26,0,0,0.0,0.470537,-0.025957,0.080500,1
27,0,1,-1.0,0.455147,-0.039577,0.079000,0
28,1,1,1.0,0.717445,0.205001,0.073000,1
29,0,1,-1.0,0.455121,-0.039600,0.080500,0
30,0,0,0.0,0.329912,-0.155888,0.075500,1
31,1,1,1.0,0.742534,0.233019,0.072000,1
32,0,0,0.0,0.361941,-0.124729,0.077000,1
33,0,0,0.0,0.348594,-0.137550,0.076000,1
34,1,1,1.0,0.737036,0.226736,0.087000,1
35,0,1,-1.0,0.345991,-0.140076,0.068000,0
36,0,0,0.0,0.262769,-0.226957,0.073500,1
37,0,1,-1.0,0.333245,-0.152580,0.084500,0
38,0,1,0.0,0.295336,-0.191314,0.070500,0
39,0,0,0.0,0.237592,-0.256504,0.077000,1
40,0,0,0.0,0.267757,-0.221327,0.071000,1
41,1,1,1.0,0.747335,0.238579,0.088000,1
42,1,1,1.0,0.784763,0.284601,0.065500,1
43,1,1,0.0,0.776826,0.274399,0.091500,1
44,0,0,0.0,0.337339,-0.148539,0.094000,1
45,0,0,0.0,0.300410,-0.185976,0.075500,1
46,0,0,0.0,0.280672,-0.207049,0.082000,1
47,0,1,-1.0,0.285476,-0.201841,0.089500,0
48,0,0,0.0,0.228999,-0.267074,0.081000,1
49,1,1,1.0,0.783166,0.282527,0.079000,1
50,0,0,0.0,0.255635,-0.235131,0.087000,1
51,0,0,0.0,0.261679,-0.228197,0.084000,1
52,0,0,0.0,0.265471,-0.223899,0.084500,1
53,0,0,0.0,0.200952,-0.303679,0.078000,1
54,0,0,0.0,0.264688,-0.224783,0.070500,1
55,0,1,-1.0,0.257430,-0.233061,0.087500,0
56,1,1,1.0,0.760086,0.253694,0.100500,1
57,1,1,1.0,0.771981,0.268297,0.076500,1
58,1,1,1.0,0.808039,0.316210,0.083000,1
59,0,0,0.0,0.224262,-0.273020,0.074000,1
60,1,1,0.0,0.794410,0.297377,0.084000,1
61,0,0,0.0,0.209720,-0.291855,0.088000,1
62,1,1,0.0,0.801050,0.306431,0.080500,1
63,1,1,1.0,0.803125,0.309307,0.085000,1
64,0,0,0.0,0.287724,-0.199422,0.082500,1
65,1,1,1.0,0.792218,0.294437,0.081500,1
66,1,1,0.0,0.808099,0.316295,0.081000,1
67,0,0,0.0,0.318330,-0.167521,0.089500,1
68,1,0,0.0,0.799776,0.304677,0.087500,0
69,1,1,1.0,0.829479,0.348027,0.073000,1
70,1,1,1.0,0.795079,0.298280,0.096000,1
71,1,1,1.0,0.838142,0.361784,0.079000,1
72,0,1,-1.0,0.285279,-0.202053,0.079000,0
73,0,1,-1.0,0.247662,-0.244447,0.086000,0
74,0,1,0.0,0.255076,-0.235778,0.082000,0
75,1,1,1.0,0.826050,0.342735,0.083500,1
76,1,1,0.0,0.809171,0.317819,0.077000,1
77,0,0,0.0,0.218466,-0.280418,0.084000,1
78,1,1,1.0,0.812331,0.322350,0.075000,1
79,0,1,-1.0,0.300406,-0.185980,0.083000,0
80,1,0,0.0,0.817822,0.330366,0.085000,0
81,0,1,-1.0,0.232555,-0.262666,0.080000,0
82,0,0,0.0,0.196621,-0.309661,0.075000,1
83,1,1,1.0,0.807225,0.315057,0.088000,1
84,1,1,1.0,0.793836,0.296604,0.080500,1
85,0,1,-1.0,0.195865,-0.310715,0.085500,0
86,1,1,1.0,0.839963,0.364749,0.069500,1
87,0,0,0.0,0.202134,-0.302062,0.081500,1
88,1,1,0.0,0.810345,0.319495,0.092000,1
89,0,0,0.0,0.202712,-0.301275,0.078500,1
90,0,0,0.0,0.174990,-0.341147,0.080000,1
91,0,0,0.0,0.167818,-0.352258,0.078500,1
92,1,0,0.0,0.802128,0.307922,0.077000,0
93,0,1,-1.0,0.172296,-0.345277,0.073500,0
94,1,1,1.0,0.789398,0.290686,0.079000,1
95,0,0,0.0,0.149659,-0.382202,0.079500,1
96,0,0,0.0,0.196385,-0.309990,0.086000,1
97,1,1,1.0,0.831206,0.350724,0.079000,1
98,0,0,0.0,0.221307,-0.276774,0.079500,1
99,1,1,1.0,0.795581,0.298959,0.095500,1
100,1,1,1.0,0.802529,0.308479,0.091500,1
101,0,0,0.0,0.220755,-0.277480,0.086500,1
102,1,1,1.0,0.840211,0.365155,0.085000,1
103,0,0,0.0,0.202386,-0.301718,0.094500,1
104,0,0,0.0,0.230862,-0.264759,0.082500,1
105,0,1,0.0,0.200542,-0.304240,0.081000,0
106,1,1,1.0,0.838291,0.362025,0.079000,1
107,1,0,0.0,0.835990,0.358311,0.090500,0
108,0,1,0.0,0.184713,-0.326642,0.081500,0
109,1,1,1.0,0.777470,0.275217,0.070500,1
110,0,1,-1.0,0.167715,-0.352419,0.073500,0
111,0,0,0.0,0.171335,-0.346763,0.082500,1
112,1,1,1.0,0.839702,0.364323,0.087000,1
113,1,1,1.0,0.860764,0.400762,0.060500,1
114,1,1,1.0,0.837665,0.361010,0.079000,1
115,1,1,1.0,0.846913,0.376330,0.094000,1
116,1,1,1.0,0.864128,0.407001,0.076500,1
117,1,1,1.0,0.849721,0.381131,0.084500,1
118,0,0,0.0,0.270402,-0.218369,0.082000,1
119,1,1,1.0,0.844172,0.371713,0.075500,1
120,0,0,0.0,0.233625,-0.261350,0.078500,1
121,0,1,-1.0,0.186655,-0.323817,0.076000,0
122,1,1,1.0,0.844184,0.371733,0.092500,1
123,0,0,0.0,0.172098,-0.345583,0.086000,1
124,0,0,0.0,0.188836,-0.320670,0.075500,1
125,1,1,1.0,0.836151,0.358571,0.085000,1
126,0,0,0.0,0.200715,-0.304004,0.083000,1
127,0,0,0.0,0.195146,-0.311721,0.075000,1
128,1,1,1.0,0.845804,0.374454,0.073500,1
129,0,0,0.0,0.293104,-0.193679,0.104000,1
130,0,0,0.0,0.267971,-0.221087,0.095000,1
131,1,1,0.0,0.864571,0.407834,0.068000,1
132,0,1,0.0,0.238799,-0.255040,0.079500,0
133,0,0,0.0,0.187704,-0.322299,0.079500,1
134,0,0,0.0,0.209044,-0.292753,0.085000,1
135,0,1,-1.0,0.238575,-0.255311,0.081000,0
136,0,0,0.0,0.214026,-0.286182,0.085000,1
137,0,0,0.0,0.191222,-0.317260,0.090500,1
