trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,0,1,-1.0,0.607196,0.095819,0.079000,0
2,1,1,1.0,0.612653,0.100865,0.072000,1
3,1,1,1.0,0.615992,0.103965,0.067000,1
4,0,0,0.0,0.604121,0.092987,0.080500,1
5,1,0,0.0,0.647692,0.133960,0.073000,0
6,1,1,1.0,0.643771,0.130189,0.063000,1
7,0,1,-1.0,0.596531,0.086027,0.080000,0
8,0,1,-1.0,0.551399,0.045391,0.080000,0
9,1,1,1.0,0.636281,0.123037,0.085000,1
10,0,0,0.0,0.455320,-0.039424,0.080000,1
11,1,1,1.0,0.661374,0.147273,0.068000,1
12,0,0,0.0,0.493108,-0.006065,0.077500,1
13,0,1,-1.0,0.480911,-0.016807,0.082500,0
14,1,0,0.0,0.663184,0.149053,0.073000,0
15,0,0,0.0,0.407377,-0.082460,0.093000,1
16,0,1,0.0,0.429570,-0.062393,0.087000,0
17,0,1,-1.0,0.429460,-0.062492,0.074500,0
18,0,0,0.0,0.331675,-0.154136,0.083500,1
19,0,0,0.0,0.323206,-0.162597,0.071000,1
20,0,0,0.0,0.340327,-0.145605,0.083500,1
21,1,0,0.0,0.645063,0.131429,0.077000,0
22,1,1,1.0,0.643459,0.129890,0.072000,1
23,1,0,0.0,0.687147,0.173100,0.086000,0
24,1,1,1.0,0.684581,0.170479,0.071000,1
25,1,1,1.0,0.724252,0.212443,0.070500,1
26,0,0,0.0,0.412089,-0.078174,0.079000,1
27,0,0,0.0,0.434799,-0.057705,0.088500,1
28,0,0,0.0,0.445689,-0.047983,0.074000,1
29,1,1,1.0,0.736831,0.226504,0.080000,1
30,1,1,1.0,0.769072,0.264678,0.067000,1
31,0,0,0.0,0.501890,0.001663,0.084000,1
32,0,1,-1.0,0.436141,-0.056504,0.091500,0
33,1,1,0.0,0.787603,0.288318,0.073000,1
34,1,1,1.0,0.787056,0.287599,0.069500,1
35,0,0,0.0,0.400875,-0.088400,0.082500,1
36,1,1,1.0,0.773153,0.269764,0.082500,1
37,0,1,-1.0,0.439312,-0.053670,0.080500,0
38,0,1,0.0,0.347172,-0.138928,0.080000,0
39,1,1,1.0,0.788417,0.289390,0.078000,1
