trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,0,1,-1.0,0.518190,0.016014,0.078500,0
2,0,1,-1.0,0.479934,-0.017668,0.062000,0
3,1,1,1.0,0.476778,-0.020450,0.096500,1
4,0,0,0.0,0.452902,-0.041569,0.082500,1
5,1,0,0.0,0.525619,0.022564,0.089500,0
6,0,1,0.0,0.459330,-0.035869,0.077500,0
7,0,0,0.0,0.469562,-0.026819,0.075000,1
8,1,0,0.0,0.513155,0.011579,0.083500,0
9,0,1,-1.0,0.472148,-0.024536,0.089500,0
10,1,0,0.0,0.509828,0.008649,0.089000,0
11,1,1,1.0,0.510295,0.009061,0.086500,1
12,0,0,0.0,0.401606,-0.087731,0.083500,1
13,0,1,0.0,0.405824,-0.083876,0.079500,0
14,1,1,0.0,0.555260,0.048828,0.083500,1
15,1,1,1.0,0.565859,0.058295,0.091000,1
16,1,0,0.0,0.602017,0.091052,0.089000,0
17,0,0,0.0,0.423749,-0.067629,0.080500,1
18,0,0,0.0,0.432460,-0.059801,0.076500,1
19,1,1,1.0,0.601603,0.090673,0.076000,1
20,1,0,0.0,0.638940,0.125568,0.085000,0
21,1,0,0.0,0.623511,0.110985,0.087500,0
22,1,0,0.0,0.656093,0.142105,0.083500,0
23,0,0,0.0,0.444019,-0.049470,0.066000,1
24,0,0,0.0,0.433812,-0.058590,0.090000,1
25,1,1,1.0,0.643535,0.129963,0.083500,1
26,0,1,0.0,0.455448,-0.039310,0.086000,0
27,0,0,0.0,0.441621,-0.051609,0.085500,1
28,0,1,0.0,0.456467,-0.038406,0.077500,0
29,0,1,-1.0,0.457671,-0.037339,0.075500,0
30,1,0,0.0,0.659425,0.145361,0.080000,0
31,0,0,0.0,0.388476,-0.099819,0.076500,1
32,0,0,0.0,0.379208,-0.108440,0.083500,1
33,1,1,1.0,0.673986,0.159779,0.075500,1
34,1,1,1.0,0.704524,0.191166,0.077000,1
35,1,1,0.0,0.714471,0.201784,0.080500,1
36,0,1,-1.0,0.386356,-0.101784,0.080000,0
37,1,1,1.0,0.705210,0.191891,0.085000,1
38,1,0,0.0,0.759035,0.252427,0.079500,0
39,0,0,0.0,0.367560,-0.119394,0.080500,1
40,1,1,0.0,0.756539,0.249436,0.066000,1
41,1,1,1.0,0.749907,0.241585,0.089500,1
42,1,0,0.0,0.746122,0.237168,0.092000,0
43,1,1,1.0,0.766000,0.260889,0.075000,1
44,1,1,0.0,0.791047,0.292875,0.080500,1
45,0,1,-1.0,0.391274,-0.097231,0.081000,0
46,0,1,-1.0,0.331693,-0.154118,0.082000,0
47,0,0,0.0,0.278162,-0.209791,0.084500,1
48,0,0,0.0,0.295715,-0.190914,0.081000,1
49,1,1,1.0,0.772219,0.268594,0.079000,1
50,0,0,0.0,0.300898,-0.185466,0.087000,1
51,0,0,0.0,0.323293,-0.162509,0.084000,1
52,0,0,0.0,0.313847,-0.172083,0.084500,1
53,0,1,-1.0,0.265184,-0.224223,0.078000,0
54,0,0,0.0,0.232937,-0.262196,0.076500,1
55,0,1,-1.0,0.309056,-0.176998,0.076500,0
56,0,0,0.0,0.222163,-0.275684,0.073000,1
57,1,1,1.0,0.745718,0.236699,0.076500,1
58,1,1,1.0,0.794159,0.297040,0.083000,1
59,0,0,0.0,0.238400,-0.255524,0.074000,1
60,1,1,0.0,0.784178,0.283840,0.084000,1
61,0,0,0.0,0.233269,-0.261788,0.088000,1
62,1,1,0.0,0.796032,0.299569,0.080500,1
63,1,1,1.0,0.792797,0.295211,0.085000,1
64,0,1,-1.0,0.291490,-0.195395,0.082500,0
65,1,1,0.0,0.797406,0.301435,0.083500,1
66,1,0,0.0,0.766513,0.261520,0.096500,0
67,0,0,0.0,0.271465,-0.217185,0.089500,1
68,1,0,0.0,0.784605,0.284396,0.087500,0
69,1,1,1.0,0.802938,0.309047,0.073000,1
70,1,0,0.0,0.772158,0.268518,0.096000,0
71,1,1,1.0,0.810505,0.319725,0.084000,1
72,1,1,1.0,0.794325,0.297263,0.076000,1
73,1,0,0.0,0.823528,0.338895,0.080000,0
74,1,0,0.0,0.831333,0.350923,0.078000,0
