trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,0,1,-1.0,1.000000,1.500000,0.086000,0
2,1,1,1.0,1.000000,1.333333,0.067000,1
3,1,1,1.0,1.000000,2.500000,0.071000,1
4,1,1,0.0,1.000000,3.166667,0.065500,1
5,0,1,-1.0,1.000000,1.500000,0.072500,0
6,0,1,-1.0,1.000000,0.333333,0.087500,0
7,1,1,1.0,1.000000,2.000000,0.073000,1
8,0,1,-1.0,1.000000,0.000000,0.079000,0
9,1,1,1.0,1.000000,3.000000,0.076000,1
10,0,0,0.0,0.000000,-1.500000,0.081000,1
11,1,1,1.0,1.000000,3.666667,0.075000,1
12,0,0,0.0,0.000000,-0.333333,0.075500,1
13,1,1,1.0,1.000000,3.500000,0.079000,1
14,0,0,0.0,0.000000,-0.333333,0.088500,1
15,1,1,1.0,1.000000,3.333333,0.080000,1
16,0,1,-1.0,1.000000,0.166667,0.085000,0
17,0,0,0.0,0.000000,-2.666667,0.069000,1
18,0,0,0.0,0.000000,-0.166667,0.083500,1
19,0,0,0.0,0.000000,-0.500000,0.073500,1
20,0,0,0.0,0.000000,-2.166667,0.077500,1
21,1,1,1.0,1.000000,5.333333,0.081000,1
22,0,0,0.0,0.000000,-0.166667,0.086000,1
23,1,1,1.0,1.000000,4.000000,0.085500,1
24,0,0,0.0,0.000000,-0.166667,0.086500,1
25,1,1,1.0,1.000000,5.500000,0.072500,1
26,1,1,1.0,1.000000,5.833333,0.076500,1
27,1,1,1.0,1.000000,6.166667,0.073500,1
28,1,1,1.0,1.000000,6.666667,0.085000,1
29,1,1,0.0,1.000000,6.166667,0.070500,1
30,0,1,-1.0,1.000000,0.666667,0.074500,0
31,1,1,1.0,1.000000,6.500000,0.064500,1
32,0,1,-1.0,1.000000,1.166667,0.079500,0
33,1,1,1.0,1.000000,5.500000,0.076500,1
34,1,1,0.0,1.000000,6.500000,0.075000,1
35,1,1,1.0,1.000000,5.333333,0.078000,1
36,0,0,0.0,0.000000,-0.500000,0.080000,1
37,0,0,0.0,0.000000,-0.166667,0.083000,1
38,0,1,-1.0,1.000000,0.000000,0.089000,0
39,0,0,0.0,0.000000,-2.666667,0.089500,1
40,0,0,0.0,0.000000,-0.333333,0.077000,1
41,0,0,0.0,0.000000,-2.666667,0.079500,1
42,0,0,0.0,0.000000,-3.666667,0.081000,1
43,1,1,1.0,1.000000,5.833333,0.075500,1
44,1,1,1.0,1.000000,5.500000,0.078000,1
45,1,1,1.0,1.000000,5.833333,0.071500,1
46,1,1,1.0,1.000000,6.333333,0.066500,1
47,0,1,0.0,1.000000,0.500000,0.085000,0
48,0,1,-1.0,1.000000,0.000000,0.071500,0
49,1,1,1.0,1.000000,6.500000,0.072000,1
50,1,1,1.0,1.000000,6.500000,0.079000,1
51,0,0,0.0,0.000000,-1.000000,0.085000,1
52,1,1,1.0,1.000000,6.833333,0.072500,1
53,0,0,0.0,0.000000,-0.333333,0.077000,1
54,1,1,1.0,1.000000,6.666667,0.074000,1
55,1,1,1.0,1.000000,6.666667,0.076500,1
56,1,1,1.0,1.000000,6.166667,0.069500,1
57,0,0,0.0,0.000000,-0.500000,0.084500,1
58,0,0,0.0,0.000000,-1.333333,0.079500,1
59,0,0,0.0,0.000000,-0.166667,0.074000,1
60,0,0,0.0,0.000000,-3.166667,0.081500,1
61,0,1,-1.0,1.000000,0.000000,0.086000,0
62,0,0,0.0,0.000000,-1.333333,0.084000,1
63,1,1,1.0,1.000000,6.000000,0.070500,1
64,1,1,1.0,1.000000,6.000000,0.078500,1
65,0,0,0.0,0.000000,-1.666667,0.087000,1
66,0,1,-1.0,1.000000,0.000000,0.077500,0
67,1,1,0.0,1.000000,4.833333,0.070500,1
68,1,1,1.0,1.000000,6.000000,0.079000,1
69,0,0,0.0,0.000000,-3.333333,0.084500,1
70,1,1,1.0,1.000000,7.500000,0.079000,1
71,1,1,1.0,1.000000,6.500000,0.081000,1
72,1,1,1.0,1.000000,6.833333,0.077000,1
73,1,1,1.0,1.000000,7.000000,0.075500,1
74,1,1,0.0,1.000000,6.000000,0.061500,1
75,1,1,1.0,1.000000,6.666667,0.077500,1
76,0,0,0.0,0.000000,-0.666667,0.081000,1
77,0,0,0.0,0.000000,-3.333333,0.083500,1
78,0,1,-1.0,1.000000,0.000000,0.084500,0
79,0,0,0.0,0.000000,-2.666667,0.079000,1
80,0,0,0.0,0.000000,-2.833333,0.076000,1
81,0,0,0.0,0.000000,-0.166667,0.080500,1
82,0,0,0.0,0.000000,-3.333333,0.078500,1
83,0,0,0.0,0.000000,-3.000000,0.082500,1
84,0,0,0.0,0.000000,-2.833333,0.076500,1
85,0,0,0.0,0.000000,-1.833333,0.077000,1
86,0,0,0.0,0.000000,-1.333333,0.087500,1
87,0,1,-1.0,1.000000,0.000000,0.090500,0
88,0,0,0.0,0.000000,-3.666667,0.074000,1
89,1,1,1.0,1.000000,7.333333,0.076500,1
90,0,0,0.0,0.000000,-2.666667,0.085000,1
91,0,0,0.0,0.000000,-2.500000,0.081500,1
92,0,0,0.0,0.000000,-3.166667,0.084000,1
93,0,0,0.0,0.000000,-3.000000,0.079500,1
94,1,1,1.0,1.000000,6.166667,0.083000,1
95,0,0,0.0,0.000000,-5.000000,0.088000,1
96,1,1,1.0,1.000000,7.000000,0.067000,1
97,1,1,0.0,1.000000,6.333333,0.077000,1
98,0,0,0.0,0.000000,-2.500000,0.083000,1
99,0,0,0.0,0.000000,-0.666667,0.078500,1
100,1,1,1.0,1.000000,6.166667,0.079000,1
101,0,1,-1.0,1.000000,0.000000,0.077500,0
102,1,1,1.0,1.000000,6.500000,0.074000,1
103,0,0,0.0,0.000000,-0.833333,0.074000,1
104,1,1,0.0,1.000000,6.666667,0.090000,1
105,1,1,1.0,1.000000,6.333333,0.070500,1
106,0,0,0.0,0.000000,-2.333333,0.076500,1
107,0,0,0.0,0.000000,-1.000000,0.075000,1
108,0,0,0.0,0.000000,-2.833333,0.082500,1
109,1,1,1.0,1.000000,6.666667,0.072000,1
110,0,0,0.0,0.000000,-1.666667,0.078000,1
111,0,0,0.0,0.000000,-2.166667,0.073000,1
112,1,1,1.0,1.000000,6.666667,0.083500,1
113,1,1,1.0,1.000000,6.333333,0.075000,1
114,0,0,0.0,0.000000,-3.666667,0.077500,1
115,0,0,0.0,0.000000,-0.166667,0.082000,1
116,0,0,0.0,0.000000,-0.333333,0.084000,1
117,0,1,-1.0,1.000000,0.000000,0.072500,0
118,1,1,1.0,1.000000,6.166667,0.065000,1
119,0,0,0.0,0.000000,-1.166667,0.082500,1
120,1,1,1.0,1.000000,6.333333,0.076500,1
121,1,1,1.0,1.000000,6.000000,0.067000,1
122,0,0,0.0,0.000000,-1.000000,0.096500,1
123,0,0,0.0,0.000000,-2.833333,0.087000,1
124,0,0,0.0,0.000000,-2.666667,0.086000,1
125,0,0,0.0,0.000000,-3.166667,0.081500,1
126,1,1,1.0,1.000000,6.000000,0.068500,1
127,0,0,0.0,0.000000,-2.166667,0.092000,1
128,0,0,0.0,0.000000,-3.833333,0.076500,1
129,1,1,1.0,1.000000,6.500000,0.067000,1
130,0,0,0.0,0.000000,-3.166667,0.085500,1
131,0,0,0.0,0.000000,-2.500000,0.081500,1
132,0,0,0.0,0.000000,-2.666667,0.087500,1
133,1,1,0.0,1.000000,6.666667,0.072000,1
134,0,0,0.0,0.000000,-3.000000,0.085000,1
135,0,0,0.0,0.000000,-2.833333,0.078000,1
136,0,0,0.0,0.000000,-1.000000,0.084000,1
137,0,0,0.0,0.000000,-1.333333,0.082000,1
138,0,0,0.0,0.000000,-3.166667,0.075500,1
139,1,1,1.0,1.000000,6.500000,0.075000,1
140,0,0,0.0,0.000000,-0.500000,0.078500,1
141,0,0,0.0,0.000000,-2.833333,0.084500,1
142,1,1,1.0,1.000000,6.333333,0.077500,1
143,0,0,0.0,0.000000,-0.833333,0.075000,1
144,1,1,1.0,1.000000,6.833333,0.070500,1
145,0,0,0.0,0.000000,-2.000000,0.075500,1
146,1,1,1.0,1.000000,6.333333,0.075000,1
147,1,1,1.0,1.000000,6.666667,0.079000,1
148,1,1,1.0,1.000000,6.000000,0.073000,1
149,0,0,0.0,0.000000,-1.333333,0.076000,1
150,0,0,0.0,0.000000,-0.166667,0.074500,1
151,0,0,0.0,0.000000,-0.500000,0.099000,1
152,0,0,0.0,0.000000,-0.500000,0.089500,1
153,1,1,0.0,1.000000,5.833333,0.080000,1
154,1,1,1.0,1.000000,6.666667,0.081000,1
155,0,0,0.0,0.000000,-0.500000,0.083500,1
156,0,0,0.0,0.000000,-0.333333,0.087000,1
157,0,0,0.0,0.000000,-1.666667,0.079500,1
158,0,1,-1.0,1.000000,0.000000,0.080500,0
159,0,0,0.0,0.000000,-2.000000,0.082000,1
160,1,1,1.0,1.000000,6.666667,0.075000,1
161,1,1,1.0,1.000000,6.166667,0.070500,1
162,1,1,1.0,1.000000,6.666667,0.067000,1
163,0,0,0.0,0.000000,-2.166667,0.083000,1
164,0,0,0.0,0.000000,-0.166667,0.086000,1
165,1,1,1.0,1.000000,6.666667,0.069000,1
166,1,1,0.0,1.000000,6.000000,0.066500,1
167,1,1,1.0,1.000000,6.333333,0.074500,1
168,1,1,1.0,1.000000,7.833333,0.076000,1
169,0,0,0.0,0.000000,-0.333333,0.083000,1
170,1,1,1.0,1.000000,6.500000,0.073500,1
171,1,1,0.0,1.000000,6.166667,0.084500,1
172,0,0,0.0,0.000000,-0.166667,0.090000,1
173,0,1,0.0,1.000000,0.000000,0.080500,0
174,1,1,0.0,1.000000,7.000000,0.068500,1
175,1,1,1.0,1.000000,6.166667,0.077500,1
176,1,1,1.0,1.000000,6.666667,0.073000,1
177,1,1,1.0,1.000000,6.500000,0.070000,1
178,0,0,0.0,0.000000,-0.833333,0.082500,1
179,1,1,1.0,1.000000,7.000000,0.072500,1
180,1,1,1.0,1.000000,6.833333,0.078500,1
181,1,1,1.0,1.000000,7.000000,0.079000,1
182,1,1,1.0,1.000000,6.500000,0.068000,1
183,1,1,1.0,1.000000,7.666667,0.067000,1
184,0,1,-1.0,1.000000,0.000000,0.085500,0
185,0,0,0.0,0.000000,-2.833333,0.089500,1
186,1,1,1.0,1.000000,6.500000,0.073000,1
187,1,1,1.0,1.000000,6.333333,0.078000,1
188,0,0,0.0,0.000000,-2.000000,0.089500,1
189,1,1,1.0,1.000000,6.166667,0.079000,1
190,0,0,0.0,0.000000,-0.666667,0.073500,1
191,1,1,1.0,1.000000,6.666667,0.076500,1
192,0,0,0.0,0.000000,-0.666667,0.070500,1
193,0,0,0.0,0.000000,-3.000000,0.073000,1
194,0,0,0.0,0.000000,-0.333333,0.088000,1
195,1,1,1.0,1.000000,6.666667,0.076500,1
196,0,0,0.0,0.000000,-0.500000,0.083500,1
197,1,1,1.0,1.000000,6.666667,0.068000,1
198,1,1,1.0,1.000000,6.833333,0.075000,1
199,1,1,1.0,1.000000,6.666667,0.074500,1
200,0,0,0.0,0.000000,-0.500000,0.086000,1
