trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,0,1,-1.0,1.000000,0.833333,0.080000,0
2,0,1,-1.0,1.000000,1.166667,0.075000,0
3,1,1,1.0,1.000000,0.333333,0.068000,1
4,1,1,1.0,1.000000,1.666667,0.068000,1
5,0,1,-1.0,1.000000,0.500000,0.088000,0
6,1,1,1.0,1.000000,2.166667,0.082500,1
7,0,0,0.0,0.000000,-0.666667,0.083000,1
8,1,1,0.0,1.000000,3.166667,0.081500,1
9,1,1,1.0,1.000000,2.666667,0.073000,1
10,0,1,-1.0,1.000000,0.000000,0.078000,0
11,0,0,0.0,0.000000,-0.666667,0.081500,1
12,1,1,0.0,1.000000,3.333333,0.079500,1
13,1,1,1.0,1.000000,3.000000,0.082500,1
14,0,0,0.0,0.000000,-0.333333,0.086500,1
15,0,0,0.0,0.000000,-0.333333,0.075000,1
16,1,1,1.0,1.000000,3.833333,0.072000,1
17,1,1,1.0,1.000000,4.166667,0.072500,1
18,0,1,-1.0,1.000000,0.000000,0.087000,0
19,0,0,0.0,0.000000,-0.666667,0.073500,1
20,0,0,0.0,0.000000,-0.833333,0.082500,1
21,0,0,0.0,0.000000,-1.500000,0.073500,1
22,1,1,1.0,1.000000,3.833333,0.076000,1
23,1,1,1.0,1.000000,5.333333,0.068000,1
24,1,1,1.0,1.000000,5.666667,0.087500,1
25,0,0,0.0,0.000000,-0.166667,0.079500,1
26,0,0,0.0,0.000000,-0.333333,0.071500,1
27,1,1,1.0,1.000000,6.000000,0.079000,1
28,1,1,1.0,1.000000,7.333333,0.085000,1
29,0,0,0.0,0.000000,-0.166667,0.076500,1
30,1,1,1.0,1.000000,6.500000,0.082500,1
31,0,1,0.0,1.000000,0.000000,0.071000,0
32,0,1,-1.0,1.000000,0.166667,0.079500,0
33,0,0,0.0,0.000000,-0.666667,0.074500,1
34,1,1,1.0,1.000000,6.833333,0.080500,1
35,1,1,1.0,1.000000,6.166667,0.077500,1
36,0,0,0.0,0.000000,-0.500000,0.074500,1
37,0,0,0.0,0.000000,-0.666667,0.080500,1
38,1,1,1.0,1.000000,6.500000,0.082000,1
39,0,0,0.0,0.000000,-0.500000,0.080500,1
40,0,1,0.0,1.000000,0.166667,0.072000,0
41,1,1,1.0,1.000000,6.166667,0.072500,1
42,1,1,0.0,1.000000,6.500000,0.071500,1
43,1,1,1.0,1.000000,6.500000,0.080000,1
44,1,1,1.0,1.000000,6.833333,0.073500,1
45,1,1,1.0,1.000000,6.833333,0.082500,1
46,0,0,0.0,0.000000,-0.333333,0.075000,1
47,1,1,1.0,1.000000,8.833333,0.077500,1
48,1,1,1.0,1.000000,8.833333,0.081500,1
49,0,1,-1.0,1.000000,0.000000,0.068000,0
50,0,0,0.0,0.000000,-3.166667,0.081000,1
51,1,1,1.0,1.000000,8.166667,0.083000,1
52,1,1,1.0,1.000000,9.500000,0.078500,1
53,0,0,0.0,0.000000,-1.166667,0.097000,1
54,0,0,0.0,0.000000,-0.833333,0.088500,1
55,1,1,0.0,1.000000,8.500000,0.079500,1
56,1,1,1.0,1.000000,7.000000,0.078000,1
57,1,1,1.0,1.000000,6.666667,0.083500,1
58,1,1,1.0,1.000000,6.666667,0.084000,1
59,0,0,0.0,0.000000,-0.333333,0.076500,1
60,0,0,0.0,0.000000,-0.333333,0.088000,1
61,1,1,0.0,1.000000,6.333333,0.080000,1
62,1,1,1.0,1.000000,9.333333,0.074500,1
63,0,0,0.0,0.000000,-0.666667,0.083000,1
64,0,0,0.0,0.000000,-0.666667,0.078000,1
65,0,1,0.0,1.000000,1.333333,0.086000,0
66,0,0,0.0,0.000000,-1.500000,0.076000,1
67,1,1,1.0,1.000000,10.000000,0.086500,1
68,0,0,0.0,0.000000,-2.333333,0.066000,1
69,1,1,1.0,1.000000,9.833333,0.074500,1
70,1,1,1.0,1.000000,9.666667,0.067500,1
71,1,1,0.0,1.000000,10.000000,0.066000,1
72,0,0,0.0,0.000000,-1.833333,0.076000,1
73,1,1,1.0,1.000000,10.500000,0.078500,1
74,0,1,-1.0,1.000000,2.333333,0.089000,0
75,1,1,1.0,1.000000,8.833333,0.074500,1
76,1,1,1.0,1.000000,9.666667,0.071000,1
77,0,0,0.0,0.000000,-3.833333,0.086000,1
78,0,0,0.0,0.000000,-2.333333,0.088500,1
79,1,1,1.0,1.000000,9.833333,0.072500,1
