trial,is_good,action_approach,reward,p_approach,valence,kc_active_frac,correct
1,1,1,1.0,0.668595,0.154405,0.069500,1
2,0,1,-1.0,0.676301,0.162101,0.063000,0
3,0,1,0.0,0.621309,0.108924,0.067000,0
4,0,0,0.0,0.616373,0.104320,0.070000,1
5,1,0,0.0,0.697767,0.184071,0.074500,0
6,0,1,-1.0,0.646380,0.132697,0.066500,0
7,0,0,0.0,0.575562,0.067008,0.065500,1
8,0,0,0.0,0.590481,0.080510,0.066000,1
9,0,1,-1.0,0.566151,0.058556,0.075000,0
10,0,1,0.0,0.501579,0.001390,0.066500,0
11,0,1,-1.0,0.524089,0.021215,0.077500,0
12,1,1,1.0,0.665688,0.151524,0.086000,1
13,0,1,-1.0,0.517225,0.015164,0.088500,0
14,1,0,0.0,0.689221,0.175225,0.083000,0
15,0,1,-1.0,0.452988,-0.041493,0.089500,0
16,1,1,1.0,0.671472,0.157267,0.081500,1
17,0,1,-1.0,0.395186,-0.093624,0.075000,0
18,0,0,0.0,0.356900,-0.129545,0.082000,1
19,1,0,0.0,0.712550,0.199717,0.078500,0
20,0,0,0.0,0.335324,-0.150525,0.074500,1
21,1,0,0.0,0.703138,0.189703,0.089000,0
22,1,0,0.0,0.692007,0.178094,0.083000,0
23,1,1,1.0,0.692017,0.178104,0.075000,1
24,0,1,-1.0,0.360653,-0.125957,0.075000,0
25,1,1,1.0,0.719923,0.207697,0.097000,1
26,0,1,-1.0,0.316380,-0.169501,0.079000,0
27,1,1,0.0,0.759247,0.252683,0.082500,1
28,0,0,0.0,0.282839,-0.204693,0.072000,1
29,1,1,1.0,0.777328,0.275036,0.085500,1
30,0,1,-1.0,0.273431,-0.215003,0.072500,0
31,0,0,0.0,0.343206,-0.142788,0.084000,1
32,0,1,0.0,0.259600,-0.230571,0.069500,0
33,1,0,0.0,0.787636,0.288362,0.086500,0
34,1,1,1.0,0.770315,0.266220,0.076500,1
35,0,0,0.0,0.352520,-0.133756,0.076500,1
36,1,1,1.0,0.786867,0.287351,0.080500,1
37,0,1,0.0,0.353307,-0.132998,0.083000,0
38,1,1,1.0,0.818173,0.330884,0.085500,1
39,0,0,0.0,0.343658,-0.142348,0.083500,1
40,1,1,1.0,0.834642,0.356156,0.090000,1
