trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,1.0,0.613793,0.2500
2,1,0,1,0,-1.0,0.593541,0.5354
3,1,1,0,0,0.0,0.580901,0.5043
4,1,1,1,1,1.0,0.574919,0.7249
5,1,1,0,0,0.0,0.592226,0.6827
6,1,1,0,0,0.0,0.595880,0.6429
7,1,0,1,0,-1.0,0.536013,0.9055
8,1,0,0,1,0.0,0.496281,0.8527
9,1,1,1,1,1.0,0.583269,1.0000
10,1,0,1,0,0.0,0.499899,0.9418
11,1,1,1,1,1.0,0.594108,1.0000
12,1,1,1,1,1.0,0.617690,1.0000
13,1,1,1,1,1.0,0.627668,1.0000
14,1,1,1,1,1.0,0.647728,1.0000
15,1,0,1,0,-1.0,0.499592,1.0000
16,1,0,0,1,0.0,0.452876,0.9418
17,1,0,0,1,0.0,0.487395,0.8869
18,1,0,1,0,-1.0,0.456686,1.0000
19,1,0,0,1,0.0,0.446944,0.9418
20,1,1,1,1,1.0,0.648316,1.0000
21,1,1,0,0,0.0,0.658396,0.9418
22,1,0,0,1,0.0,0.455865,0.8869
23,1,1,1,1,1.0,0.671149,1.0000
24,1,0,1,0,-1.0,0.442528,1.0000
25,1,0,1,0,-1.0,0.400706,1.0000
26,1,0,1,0,-1.0,0.380616,1.0000
27,1,0,0,1,0.0,0.341066,0.9418
28,1,0,0,1,0.0,0.347418,0.8869
29,1,1,0,0,0.0,0.667922,0.8352
30,1,0,0,1,0.0,0.361053,0.7866
31,1,1,1,1,1.0,0.674245,0.9908
32,1,0,1,0,-1.0,0.394264,1.0000
33,1,1,1,1,1.0,0.665598,1.0000
34,1,0,1,0,-1.0,0.362817,1.0000
35,1,0,1,0,0.0,0.308652,0.9418
36,1,0,0,1,0.0,0.345296,0.8869
37,1,1,0,0,0.0,0.679900,0.8352
38,1,0,0,1,0.0,0.331702,0.7866
39,1,0,1,0,0.0,0.336310,0.7408
40,1,1,1,1,1.0,0.686615,0.9476
41,1,0,1,0,-1.0,0.322480,1.0000
42,1,1,0,0,0.0,0.669682,0.9418
43,1,1,1,1,1.0,0.686558,1.0000
44,1,0,1,0,0.0,0.313879,0.9418
45,1,1,1,1,1.0,0.704493,1.0000
46,1,0,0,1,0.0,0.354980,0.9418
47,1,1,0,0,0.0,0.688366,0.8869
48,1,1,0,0,0.0,0.705692,0.8352
49,1,1,1,1,1.0,0.718415,1.0000
50,1,1,1,1,1.0,0.694173,1.0000
51,1,1,0,0,0.0,0.696914,0.9418
52,1,0,0,1,0.0,0.365029,0.8869
53,1,1,0,0,0.0,0.706812,0.8352
54,1,0,0,1,0.0,0.321704,0.7866
55,1,1,1,1,1.0,0.721404,0.9908
56,1,1,1,1,0.0,0.717531,0.9331
57,1,0,0,1,0.0,0.305215,0.8787
58,1,1,1,1,1.0,0.721557,1.0000
59,1,1,0,0,0.0,0.703447,0.9418
60,1,1,0,0,0.0,0.708653,0.8869
61,1,1,1,1,1.0,0.737835,1.0000
62,1,1,1,1,1.0,0.715713,1.0000
63,1,1,1,1,1.0,0.698805,1.0000
64,1,1,0,0,0.0,0.724606,0.9418
65,1,1,1,1,1.0,0.725419,1.0000
66,1,0,1,0,-1.0,0.397987,1.0000
67,1,1,1,1,1.0,0.733916,1.0000
68,1,0,0,1,0.0,0.368327,0.9418
69,1,1,0,0,0.0,0.726045,0.8869
70,1,0,1,0,-1.0,0.293472,1.0000
71,1,0,0,1,0.0,0.348563,0.9418
72,1,0,1,0,-1.0,0.315918,1.0000
73,1,0,0,1,0.0,0.291784,0.9418
74,1,0,0,1,0.0,0.314727,0.8869
75,1,0,0,1,0.0,0.299161,0.8352
76,1,0,0,1,0.0,0.285700,0.7866
77,1,1,1,1,1.0,0.737849,0.9908
78,1,1,0,0,0.0,0.725014,0.9331
79,1,0,0,1,0.0,0.298458,0.8787
80,1,1,1,1,1.0,0.733512,1.0000
81,1,0,0,1,0.0,0.338604,0.9418
82,1,1,1,1,1.0,0.723890,1.0000
83,1,0,0,1,0.0,0.307068,0.9418
84,1,1,1,1,0.0,0.727943,0.8869
85,1,1,0,0,0.0,0.730492,0.8352
86,1,1,1,1,1.0,0.734681,1.0000
87,1,0,0,1,0.0,0.296098,0.9418
88,1,1,0,0,0.0,0.737729,0.8869
89,1,0,1,0,0.0,0.313308,0.8352
90,1,0,1,0,-1.0,0.336974,1.0000
91,1,1,1,1,1.0,0.713942,1.0000
92,1,0,1,0,-1.0,0.305419,1.0000
93,1,0,0,1,0.0,0.295509,0.9418
94,1,0,0,1,0.0,0.286608,0.8869
95,1,1,1,1,1.0,0.728465,1.0000
96,1,0,1,0,-1.0,0.299842,1.0000
97,1,1,1,1,1.0,0.731295,1.0000
98,1,0,1,0,-1.0,0.294646,1.0000
99,1,1,1,1,1.0,0.716398,1.0000
100,1,1,1,1,0.0,0.719882,0.9418
1,2,0,0,0,0.0,0.207196,0.1978
2,2,1,1,0,-1.0,0.816824,0.4863
3,2,1,1,0,-1.0,0.726487,0.7580
4,2,0,1,1,1.0,0.244065,0.9638
5,2,0,0,0,0.0,0.304167,0.9077
6,2,1,1,0,-1.0,0.669023,1.0000
7,2,0,1,1,1.0,0.325045,1.0000
8,2,0,1,1,1.0,0.360371,1.0000
9,2,0,0,0,0.0,0.396544,0.9418
10,2,0,0,0,0.0,0.404579,0.8869
11,2,0,1,1,1.0,0.378618,1.0000
12,2,1,0,1,0.0,0.640209,0.9418
13,2,0,0,0,0.0,0.425178,0.8869
14,2,0,0,0,0.0,0.441346,0.8352
15,2,0,1,1,1.0,0.403307,1.0000
16,2,1,1,0,-1.0,0.633939,1.0000
17,2,1,1,0,-1.0,0.611656,1.0000
18,2,1,1,0,-1.0,0.583408,1.0000
19,2,0,0,0,0.0,0.440854,0.9418
20,2,0,1,1,1.0,0.417564,1.0000
21,2,1,0,1,0.0,0.550048,0.9418
22,2,1,1,0,-1.0,0.557899,1.0000
23,2,0,1,1,1.0,0.486240,1.0000
24,2,0,1,1,1.0,0.510427,1.0000
25,2,0,1,1,0.0,0.526134,0.9418
26,2,0,1,1,1.0,0.551150,1.0000
27,2,0,1,1,1.0,0.575366,1.0000
28,2,0,0,0,0.0,0.591199,0.9418
29,2,1,1,0,0.0,0.524660,0.8869
30,2,0,0,0,0.0,0.577920,0.8352
31,2,1,0,1,0.0,0.541478,0.7866
32,2,0,0,0,0.0,0.600700,0.7408
33,2,0,1,1,1.0,0.597539,0.9476
34,2,1,0,1,0.0,0.504754,0.8924
35,2,0,1,1,1.0,0.605166,1.0000
36,2,1,0,1,0.0,0.522657,0.9418
37,2,0,1,1,1.0,0.614858,1.0000
38,2,0,0,0,0.0,0.617356,0.9418
39,2,1,0,1,0.0,0.529114,0.8869
40,2,1,1,0,-1.0,0.533799,1.0000
41,2,1,0,1,0.0,0.475359,0.9418
42,2,1,1,0,-1.0,0.505654,1.0000
43,2,0,1,1,1.0,0.604849,1.0000
44,2,1,1,0,-1.0,0.466687,1.0000
45,2,1,1,0,-1.0,0.399075,1.0000
46,2,0,1,1,0.0,0.619120,0.9418
47,2,0,0,0,0.0,0.608460,0.8869
48,2,0,1,1,1.0,0.625421,1.0000
49,2,0,1,1,0.0,0.607825,0.9418
50,2,1,0,1,0.0,0.384759,0.8869
51,2,0,0,0,0.0,0.626076,0.8352
52,2,1,1,0,-1.0,0.374832,1.0000
53,2,1,1,0,-1.0,0.347786,1.0000
54,2,1,0,1,0.0,0.339757,0.9418
55,2,1,0,1,0.0,0.295817,0.8869
56,2,0,1,1,0.0,0.617086,0.8352
57,2,0,1,1,1.0,0.613188,1.0000
58,2,1,0,1,0.0,0.318212,0.9418
59,2,1,1,0,-1.0,0.342264,1.0000
60,2,1,0,1,0.0,0.318022,0.9418
61,2,0,0,0,0.0,0.631738,0.8869
62,2,1,0,1,0.0,0.330857,0.8352
63,2,1,0,1,0.0,0.296308,0.7866
64,2,1,0,1,0.0,0.325579,0.7408
65,2,1,0,1,0.0,0.290469,0.6976
66,2,0,1,1,1.0,0.639311,0.9070
67,2,0,1,1,1.0,0.636630,1.0000
68,2,0,0,0,0.0,0.635552,0.9418
69,2,0,0,0,0.0,0.653131,0.8869
70,2,0,1,1,1.0,0.640657,1.0000
71,2,1,0,1,0.0,0.382714,0.9418
72,2,1,0,1,0.0,0.368217,0.8869
73,2,1,0,1,0.0,0.345024,0.8352
74,2,1,0,1,0.0,0.321821,0.7866
75,2,0,1,1,0.0,0.645637,0.7408
76,2,0,1,1,1.0,0.652680,0.9476
77,2,0,1,1,1.0,0.656594,1.0000
78,2,0,0,0,0.0,0.661707,0.9418
79,2,0,1,1,1.0,0.669122,1.0000
80,2,1,0,1,0.0,0.353111,0.9418
81,2,0,0,0,0.0,0.668178,0.8869
82,2,0,0,0,0.0,0.671837,0.8352
83,2,1,0,1,0.0,0.314082,0.7866
84,2,1,1,0,-1.0,0.331681,1.0000
85,2,1,1,0,-1.0,0.334244,1.0000
86,2,1,0,1,0.0,0.282170,0.9418
87,2,1,0,1,0.0,0.288458,0.8869
88,2,0,0,0,0.0,0.656674,0.8352
89,2,0,1,1,1.0,0.674287,1.0000
90,2,0,1,1,1.0,0.654599,1.0000
91,2,1,1,0,0.0,0.324033,0.9418
92,2,0,1,1,0.0,0.668170,0.8869
93,2,0,1,1,1.0,0.663623,1.0000
94,2,1,0,1,0.0,0.314408,0.9418
95,2,0,0,0,0.0,0.684637,0.8869
96,2,0,0,0,0.0,0.673694,0.8352
97,2,0,0,0,0.0,0.683640,0.7866
98,2,1,0,1,0.0,0.289126,0.7408
99,2,0,1,1,1.0,0.709246,0.9476
100,2,1,0,1,0.0,0.327184,0.8924
1,3,0,0,1,0.0,0.761363,0.1875
2,3,0,1,0,-1.0,0.759307,0.4766
3,3,0,1,0,0.0,0.687905,0.4488
4,3,0,1,0,-1.0,0.691611,0.7227
5,3,0,1,0,-1.0,0.644065,0.9806
6,3,0,1,0,-1.0,0.585702,1.0000
7,3,1,0,0,0.0,0.270409,0.9418
8,3,0,0,1,0.0,0.564915,0.8869
9,3,0,1,0,-1.0,0.542532,1.0000
10,3,0,0,1,0.0,0.530845,0.9418
11,3,0,0,1,0.0,0.504861,0.8869
12,3,0,0,1,0.0,0.532787,0.8352
13,3,1,0,0,0.0,0.282467,0.7866
14,3,1,1,1,1.0,0.266375,0.9908
15,3,1,1,1,1.0,0.342427,1.0000
16,3,1,1,1,1.0,0.370286,1.0000
17,3,0,1,0,-1.0,0.530215,1.0000
18,3,0,0,1,0.0,0.465989,0.9418
19,3,1,0,0,0.0,0.421280,0.8869
20,3,1,1,1,1.0,0.429143,1.0000
21,3,0,0,1,0.0,0.480199,0.9418
22,3,0,0,1,0.0,0.505785,0.8869
23,3,1,0,0,0.0,0.469972,0.8352
24,3,1,0,0,0.0,0.453338,0.7866
25,3,1,1,1,1.0,0.463955,0.9908
26,3,0,0,1,0.0,0.506456,0.9331
27,3,1,1,1,1.0,0.486070,1.0000
28,3,1,1,1,1.0,0.556316,1.0000
29,3,0,0,1,0.0,0.518879,0.9418
30,3,1,1,1,1.0,0.578541,1.0000
31,3,1,0,0,0.0,0.580417,0.9418
32,3,1,1,1,1.0,0.589370,1.0000
33,3,0,1,0,-1.0,0.519919,1.0000
34,3,1,0,0,0.0,0.593482,0.9418
35,3,1,0,0,0.0,0.595742,0.8869
36,3,1,1,1,1.0,0.595172,1.0000
37,3,1,1,1,1.0,0.594795,1.0000
38,3,0,1,0,0.0,0.470069,0.9418
39,3,0,1,0,-1.0,0.458087,1.0000
40,3,1,0,0,0.0,0.605052,0.9418
41,3,0,1,0,0.0,0.438441,0.8869
42,3,1,0,0,0.0,0.612901,0.8352
43,3,0,1,0,-1.0,0.443632,1.0000
44,3,1,0,0,0.0,0.614190,0.9418
45,3,1,0,0,0.0,0.603808,0.8869
46,3,1,0,0,0.0,0.610786,0.8352
47,3,0,1,0,-1.0,0.409755,1.0000
48,3,1,1,1,1.0,0.602918,1.0000
49,3,0,1,0,-1.0,0.371447,1.0000
50,3,0,0,1,0.0,0.339658,0.9418
51,3,1,1,1,1.0,0.613027,1.0000
52,3,1,1,1,1.0,0.623372,1.0000
53,3,1,1,1,0.0,0.630466,0.9418
54,3,0,1,0,-1.0,0.328628,1.0000
55,3,1,0,0,0.0,0.622140,0.9418
56,3,0,0,1,0.0,0.341382,0.8869
57,3,0,0,1,0.0,0.328102,0.8352
58,3,1,0,0,0.0,0.632778,0.7866
59,3,0,1,0,-1.0,0.317659,1.0000
60,3,0,0,1,0.0,0.316242,0.9418
