trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,0.0,0.613604,0.0000
2,1,1,0,0,0.0,0.624852,0.0000
3,1,0,1,0,-1.0,0.593315,0.3000
4,1,1,1,1,1.0,0.573412,0.5325
5,1,1,1,1,0.0,0.587463,0.5015
6,1,1,0,0,0.0,0.589782,0.4723
7,1,1,0,0,0.0,0.591530,0.4448
8,1,1,1,1,1.0,0.593108,0.6689
9,1,1,1,1,1.0,0.602865,0.8799
10,1,0,0,1,0.0,0.562813,0.8287
11,1,1,0,0,0.0,0.616996,0.7804
12,1,1,1,1,1.0,0.614703,0.9849
13,1,1,1,1,1.0,0.624406,1.0000
14,1,0,0,1,0.0,0.571218,0.9418
15,1,0,0,1,0.0,0.579939,0.8869
16,1,0,1,0,-1.0,0.576099,1.0000
17,1,0,0,1,0.0,0.544245,0.9418
18,1,1,0,0,0.0,0.627757,0.8869
19,1,1,1,1,1.0,0.627524,1.0000
20,1,0,1,0,-1.0,0.552876,1.0000
21,1,1,0,0,0.0,0.640260,0.9418
22,1,1,1,1,1.0,0.641714,1.0000
23,1,1,1,1,0.0,0.665983,0.9418
24,1,0,0,1,0.0,0.503132,0.8869
25,1,1,1,1,0.0,0.676029,0.8352
26,1,0,0,1,0.0,0.515949,0.7866
27,1,0,0,1,0.0,0.517193,0.7408
28,1,1,1,1,1.0,0.676985,0.9476
29,1,1,1,1,1.0,0.686754,1.0000
30,1,0,1,0,-1.0,0.533693,1.0000
31,1,0,1,0,-1.0,0.481276,1.0000
32,1,1,1,1,0.0,0.664392,0.9418
33,1,0,1,0,-1.0,0.435731,1.0000
34,1,0,1,0,-1.0,0.392241,1.0000
35,1,0,0,1,0.0,0.364865,0.9418
36,1,0,0,1,0.0,0.348434,0.8869
37,1,0,0,1,0.0,0.356976,0.8352
38,1,0,0,1,0.0,0.356061,0.7866
39,1,1,0,0,0.0,0.634344,0.7408
40,1,0,0,1,0.0,0.337011,0.6976
41,1,1,1,1,1.0,0.646992,0.9070
42,1,0,1,0,-1.0,0.357958,1.0000
43,1,0,0,1,0.0,0.340857,0.9418
44,1,0,1,0,-1.0,0.352497,1.0000
45,1,0,1,0,-1.0,0.313332,1.0000
46,1,1,1,1,0.0,0.595574,0.9418
47,1,0,1,0,0.0,0.288351,0.8869
48,1,1,0,0,0.0,0.621879,0.8352
49,1,0,1,0,-1.0,0.276955,1.0000
50,1,1,1,1,0.0,0.585647,0.9418
51,1,0,0,1,0.0,0.263969,0.8869
52,1,0,0,1,0.0,0.257882,0.8352
53,1,0,0,1,0.0,0.243902,0.7866
54,1,1,0,0,0.0,0.601356,0.7408
55,1,1,1,1,1.0,0.576340,0.9476
56,1,1,1,1,1.0,0.613677,1.0000
57,1,1,1,1,1.0,0.634803,1.0000
58,1,0,0,1,0.0,0.314700,0.9418
59,1,0,1,0,-1.0,0.305295,1.0000
60,1,1,0,0,0.0,0.637718,0.9418
61,1,0,0,1,0.0,0.279317,0.8869
62,1,0,0,1,0.0,0.260428,0.8352
63,1,1,1,1,1.0,0.628399,1.0000
64,1,1,0,0,0.0,0.646365,0.9418
65,1,1,1,1,0.0,0.628629,0.8869
66,1,1,0,0,0.0,0.634573,0.8352
67,1,1,0,0,0.0,0.647624,0.7866
68,1,1,1,1,1.0,0.646920,0.9908
69,1,1,1,1,1.0,0.665954,1.0000
70,1,0,1,0,-1.0,0.323158,1.0000
71,1,1,0,0,0.0,0.650093,0.9418
72,1,0,0,1,0.0,0.273655,0.8869
73,1,0,1,0,0.0,0.269766,0.8352
74,1,1,1,1,1.0,0.644891,1.0000
75,1,1,1,1,1.0,0.666623,1.0000
76,1,1,0,0,0.0,0.654538,0.9418
77,1,0,0,1,0.0,0.316418,0.8869
78,1,0,0,1,0.0,0.285021,0.8352
79,1,1,1,1,0.0,0.679693,0.7866
80,1,1,1,1,1.0,0.688003,0.9908
81,1,1,1,1,1.0,0.658091,1.0000
82,1,0,1,0,-1.0,0.330203,1.0000
83,1,1,0,0,0.0,0.680943,0.9418
84,1,0,1,0,-1.0,0.322054,1.0000
85,1,1,1,1,1.0,0.668922,1.0000
86,1,0,1,0,-1.0,0.321514,1.0000
87,1,1,1,1,1.0,0.662729,1.0000
88,1,1,1,1,0.0,0.676088,0.9418
89,1,0,1,0,0.0,0.288882,0.8869
90,1,1,0,0,0.0,0.688247,0.8352
91,1,0,0,1,0.0,0.287359,0.7866
92,1,1,1,1,1.0,0.681477,0.9908
93,1,0,1,0,-1.0,0.329142,1.0000
94,1,0,0,1,0.0,0.287416,0.9418
95,1,1,0,0,0.0,0.673690,0.8869
96,1,0,0,1,0.0,0.262861,0.8352
97,1,1,0,0,0.0,0.661341,0.7866
98,1,0,1,0,-1.0,0.266900,1.0000
99,1,0,1,0,-1.0,0.292979,1.0000
100,1,0,1,0,-1.0,0.262270,1.0000
1,2,0,0,0,0.0,0.183280,0.2101
2,2,1,1,0,-1.0,0.698623,0.4978
3,2,0,0,0,0.0,0.191613,0.4688
4,2,1,1,0,-1.0,0.645801,0.7415
5,2,1,0,1,0.0,0.556111,0.6983
6,2,0,0,0,0.0,0.217266,0.6577
7,2,0,0,0,0.0,0.194173,0.6194
8,2,1,0,1,0.0,0.586787,0.5833
9,2,1,0,1,0.0,0.586897,0.5493
10,2,0,1,1,1.0,0.176177,0.7673
11,2,0,1,1,0.0,0.269032,0.7226
12,2,1,1,0,-1.0,0.572214,0.9805
13,2,1,0,1,0.0,0.572084,0.9234
14,2,1,0,1,0.0,0.566491,0.8696
15,2,1,1,0,0.0,0.567916,0.8190
16,2,1,1,0,-1.0,0.544212,1.0000
17,2,1,0,1,0.0,0.501673,0.9418
18,2,1,1,0,-1.0,0.492459,1.0000
19,2,1,1,0,-1.0,0.439212,1.0000
20,2,1,0,1,0.0,0.353152,0.9418
21,2,0,0,0,0.0,0.236779,0.8869
22,2,0,0,0,0.0,0.235884,0.8352
23,2,1,1,0,-1.0,0.391148,1.0000
24,2,0,0,0,0.0,0.236068,0.9418
25,2,1,0,1,0.0,0.349808,0.8869
26,2,0,0,0,0.0,0.223355,0.8352
27,2,1,0,1,0.0,0.370109,0.7866
28,2,0,0,0,0.0,0.223022,0.7408
29,2,0,0,0,0.0,0.219304,0.6976
30,2,0,0,0,0.0,0.206479,0.6570
31,2,1,0,1,0.0,0.332219,0.6187
32,2,1,1,0,-1.0,0.352630,0.8827
33,2,0,0,0,0.0,0.220404,0.8313
34,2,0,0,0,0.0,0.219350,0.7829
35,2,0,0,0,0.0,0.212205,0.7373
36,2,1,1,0,-1.0,0.313770,0.9943
37,2,1,0,1,0.0,0.304646,0.9364
38,2,1,0,1,0.0,0.294422,0.8819
39,2,1,0,1,0.0,0.305308,0.8305
40,2,0,0,0,0.0,0.209653,0.7821
41,2,1,1,0,0.0,0.290776,0.7366
42,2,0,1,1,1.0,0.198958,0.9437
43,2,1,0,1,0.0,0.312491,0.8887
44,2,0,0,0,0.0,0.276778,0.8369
45,2,0,0,0,0.0,0.250461,0.7882
46,2,1,0,1,0.0,0.301047,0.7423
47,2,0,0,0,0.0,0.249629,0.6990
48,2,1,0,1,0.0,0.282155,0.6583
49,2,0,0,0,0.0,0.237569,0.6200
50,2,1,0,1,0.0,0.301598,0.5839
51,2,0,0,0,0.0,0.229159,0.5499
52,2,0,0,0,0.0,0.230394,0.5178
53,2,1,1,0,-1.0,0.287162,0.7877
54,2,1,0,1,0.0,0.286241,0.7418
55,2,1,0,1,0.0,0.273026,0.6986
56,2,1,0,1,0.0,0.257974,0.6579
57,2,0,0,0,0.0,0.231485,0.6196
58,2,0,0,0,0.0,0.232539,0.5835
59,2,1,0,1,0.0,0.270368,0.5495
60,2,1,0,1,0.0,0.250456,0.5175
61,2,1,1,0,0.0,0.242709,0.4874
62,2,0,1,1,1.0,0.206918,0.7090
63,2,0,1,1,0.0,0.281642,0.6677
64,2,0,0,0,0.0,0.277076,0.6288
65,2,1,0,1,0.0,0.264287,0.5922
66,2,0,0,0,0.0,0.281485,0.5577
67,2,1,0,1,0.0,0.289017,0.5252
68,2,0,0,0,0.0,0.259453,0.4946
69,2,0,0,0,0.0,0.254065,0.4658
70,2,1,0,1,0.0,0.274594,0.4387
71,2,0,0,0,0.0,0.250905,0.4131
72,2,0,1,1,1.0,0.260809,0.6390
73,2,0,0,0,0.0,0.314020,0.6018
74,2,1,0,1,0.0,0.279118,0.5668
75,2,0,0,0,0.0,0.309382,0.5338
76,2,0,0,0,0.0,0.320958,0.5027
77,2,1,1,0,0.0,0.286008,0.4734
78,2,0,0,0,0.0,0.319794,0.4458
79,2,0,0,0,0.0,0.297320,0.4198
