trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,1.0,0.610610,0.0000
2,1,1,1,1,1.0,0.627918,0.0000
3,1,0,1,0,0.0,0.599624,0.0000
4,1,1,0,0,0.0,0.627507,0.0000
5,1,1,1,1,1.0,0.642076,0.0000
6,1,0,0,1,0.0,0.619763,0.0000
7,1,1,1,1,1.0,0.665576,0.0000
8,1,0,0,1,0.0,0.629016,0.0000
9,1,0,0,1,0.0,0.622661,0.0000
10,1,0,0,1,0.0,0.629168,0.0000
11,1,1,1,1,1.0,0.700546,0.0000
12,1,0,1,0,-1.0,0.641022,0.0000
13,1,0,0,1,0.0,0.606592,0.0000
14,1,1,1,1,1.0,0.719830,0.0000
15,1,0,1,0,0.0,0.603370,0.0000
16,1,0,1,0,-1.0,0.598905,0.0000
17,1,0,0,1,0.0,0.534881,0.0000
18,1,1,1,1,1.0,0.715072,0.0000
19,1,1,1,1,1.0,0.755524,0.0000
20,1,1,0,0,0.0,0.753056,0.0000
21,1,1,0,0,0.0,0.759265,0.0000
22,1,1,1,1,1.0,0.758664,0.0000
23,1,1,0,0,0.0,0.779103,0.0000
24,1,0,0,1,0.0,0.588068,0.0000
25,1,1,0,0,0.0,0.782706,0.0000
26,1,0,1,0,-1.0,0.585705,0.0000
27,1,1,0,0,0.0,0.757846,0.0000
28,1,1,0,0,0.0,0.765349,0.0000
29,1,0,0,1,0.0,0.476733,0.0000
30,1,1,1,1,1.0,0.765050,0.0000
31,1,1,1,1,1.0,0.777330,0.0000
32,1,1,1,1,1.0,0.792575,0.0000
33,1,0,1,0,-1.0,0.554203,0.0000
34,1,0,0,1,0.0,0.471270,0.0000
35,1,0,1,0,-1.0,0.481851,0.0000
36,1,0,0,1,0.0,0.377786,0.0000
37,1,1,0,0,0.0,0.788941,0.0000
38,1,0,0,1,0.0,0.374450,0.0000
39,1,0,1,0,-1.0,0.443215,0.0000
40,1,1,1,1,1.0,0.779465,0.0000
41,1,1,0,0,0.0,0.779455,0.0000
42,1,1,1,1,1.0,0.777381,0.0000
43,1,1,0,0,0.0,0.801722,0.0000
44,1,0,0,1,0.0,0.422108,0.0000
45,1,1,1,1,1.0,0.800328,0.0000
46,1,1,1,1,1.0,0.785071,0.0000
47,1,0,0,1,0.0,0.410312,0.0000
48,1,1,1,1,1.0,0.801027,0.0000
49,1,0,1,0,-1.0,0.441621,0.0000
50,1,1,1,1,1.0,0.802948,0.0000
51,1,1,1,1,1.0,0.807436,0.0000
52,1,1,1,1,1.0,0.816478,0.0000
53,1,1,1,1,1.0,0.835182,0.0000
54,1,1,1,1,1.0,0.829816,0.0000
55,1,1,1,1,1.0,0.813427,0.0000
56,1,1,1,1,1.0,0.830144,0.0000
57,1,1,1,1,1.0,0.836782,0.0000
58,1,0,0,1,0.0,0.371967,0.0000
59,1,0,0,1,0.0,0.451149,0.0000
60,1,0,0,1,0.0,0.425046,0.0000
61,1,1,1,1,1.0,0.839364,0.0000
62,1,0,1,0,-1.0,0.451252,0.0000
63,1,0,0,1,0.0,0.344209,0.0000
64,1,0,0,1,0.0,0.310169,0.0000
65,1,0,1,0,-1.0,0.317672,0.0000
66,1,1,1,1,1.0,0.814475,0.0000
67,1,0,0,1,0.0,0.284715,0.0000
68,1,1,0,0,0.0,0.840846,0.0000
69,1,1,1,1,1.0,0.835850,0.0000
70,1,1,1,1,1.0,0.826049,0.0000
71,1,0,1,0,-1.0,0.348293,0.0000
72,1,0,1,0,-1.0,0.328958,0.0000
73,1,0,0,1,0.0,0.303742,0.0000
74,1,0,0,1,0.0,0.240780,0.0000
75,1,0,0,1,0.0,0.241172,0.0000
76,1,1,1,1,0.0,0.830239,0.0000
77,1,0,0,1,0.0,0.319779,0.0000
78,1,0,1,0,-1.0,0.271615,0.0000
79,1,0,1,0,-1.0,0.226066,0.0000
80,1,0,0,1,0.0,0.178840,0.0000
81,1,0,0,1,0.0,0.239760,0.0000
82,1,0,0,1,0.0,0.197693,0.0000
83,1,1,1,1,1.0,0.808815,0.0000
84,1,0,0,1,0.0,0.226736,0.0000
85,1,0,0,1,0.0,0.251860,0.0000
86,1,1,0,0,0.0,0.825689,0.0000
87,1,1,0,0,0.0,0.824498,0.0000
88,1,0,1,0,-1.0,0.198518,0.0000
89,1,0,1,0,-1.0,0.183794,0.0000
90,1,1,1,1,1.0,0.795402,0.0000
91,1,1,1,1,1.0,0.831075,0.0000
92,1,1,1,1,1.0,0.829264,0.0000
93,1,0,0,1,0.0,0.162801,0.0000
94,1,1,0,0,0.0,0.848369,0.0000
95,1,0,1,0,-1.0,0.170697,0.0000
96,1,1,1,1,1.0,0.813309,0.0000
97,1,1,1,1,1.0,0.828432,0.0000
98,1,1,1,1,1.0,0.850416,0.0000
99,1,0,0,1,0.0,0.185941,0.0000
100,1,1,1,1,0.0,0.829020,0.0000
1,2,1,1,0,-1.0,0.855592,0.0000
2,2,0,1,1,1.0,0.185111,0.0000
3,2,1,0,1,0.0,0.801038,0.0000
4,2,1,1,0,0.0,0.810492,0.0000
5,2,1,1,0,-1.0,0.791230,0.0000
6,2,0,0,0,0.0,0.247582,0.0000
7,2,1,1,0,-1.0,0.757755,0.0000
8,2,1,1,0,-1.0,0.720122,0.0000
9,2,1,1,0,-1.0,0.676852,0.0000
10,2,1,1,0,0.0,0.647900,0.0000
11,2,1,0,1,0.0,0.630520,0.0000
12,2,0,0,0,0.0,0.172423,0.0000
13,2,1,0,1,0.0,0.621374,0.0000
14,2,0,0,0,0.0,0.177795,0.0000
15,2,0,0,0,0.0,0.182861,0.0000
16,2,0,0,0,0.0,0.181203,0.0000
17,2,1,1,0,-1.0,0.638479,0.0000
18,2,0,0,0,0.0,0.179472,0.0000
19,2,0,0,0,0.0,0.193638,0.0000
20,2,0,0,0,0.0,0.192734,0.0000
21,2,0,0,0,0.0,0.162921,0.0000
22,2,0,1,1,0.0,0.199052,0.0000
23,2,0,1,1,0.0,0.186229,0.0000
24,2,0,0,0,0.0,0.175441,0.0000
25,2,0,1,1,1.0,0.183493,0.0000
26,2,1,0,1,0.0,0.579360,0.0000
27,2,1,1,0,-1.0,0.568995,0.0000
28,2,0,0,0,0.0,0.234309,0.0000
29,2,0,0,0,0.0,0.216010,0.0000
30,2,0,0,0,0.0,0.252096,0.0000
31,2,0,1,1,1.0,0.197725,0.0000
32,2,0,0,0,0.0,0.313291,0.0000
33,2,1,1,0,-1.0,0.536587,0.0000
34,2,0,0,0,0.0,0.281627,0.0000
35,2,1,1,0,-1.0,0.453861,0.0000
36,2,0,1,1,0.0,0.268456,0.0000
37,2,1,0,1,0.0,0.414987,0.0000
38,2,0,0,0,0.0,0.280272,0.0000
39,2,1,0,1,0.0,0.371704,0.0000
40,2,0,0,0,0.0,0.264862,0.0000
41,2,0,0,0,0.0,0.230049,0.0000
42,2,0,0,0,0.0,0.242351,0.0000
43,2,1,1,0,-1.0,0.382067,0.0000
44,2,0,0,0,0.0,0.235463,0.0000
45,2,1,0,1,0.0,0.335143,0.0000
46,2,0,0,0,0.0,0.250053,0.0000
47,2,0,0,0,0.0,0.248494,0.0000
48,2,0,0,0,0.0,0.236008,0.0000
49,2,1,1,0,0.0,0.294807,0.0000
50,2,0,1,1,1.0,0.267575,0.0000
51,2,1,1,0,0.0,0.346958,0.0000
52,2,1,0,1,0.0,0.333105,0.0000
53,2,0,1,1,1.0,0.332463,0.0000
54,2,1,0,1,0.0,0.350090,0.0000
55,2,1,0,1,0.0,0.365485,0.0000
56,2,0,1,1,1.0,0.385093,0.0000
57,2,0,0,0,0.0,0.460208,0.0000
58,2,0,1,1,1.0,0.473602,0.0000
59,2,1,1,0,-1.0,0.369504,0.0000
60,2,0,1,1,0.0,0.518770,0.0000
61,2,0,1,1,1.0,0.540746,0.0000
62,2,0,1,1,1.0,0.599844,0.0000
63,2,0,1,1,1.0,0.612448,0.0000
64,2,0,1,1,1.0,0.640235,0.0000
65,2,0,1,1,1.0,0.670445,0.0000
66,2,0,1,1,0.0,0.676698,0.0000
67,2,0,1,1,1.0,0.693324,0.0000
68,2,0,1,1,1.0,0.684584,0.0000
69,2,0,1,1,1.0,0.699758,0.0000
70,2,1,0,1,0.0,0.383336,0.0000
71,2,0,1,1,1.0,0.703487,0.0000
72,2,0,0,0,0.0,0.735182,0.0000
73,2,0,1,1,1.0,0.728039,0.0000
74,2,1,1,0,-1.0,0.392637,0.0000
75,2,0,1,1,1.0,0.724930,0.0000
76,2,0,1,1,1.0,0.741747,0.0000
77,2,0,1,1,1.0,0.758541,0.0000
78,2,0,0,0,0.0,0.759990,0.0000
79,2,1,0,1,0.0,0.374442,0.0000
80,2,1,0,1,0.0,0.376085,0.0000
81,2,0,1,1,1.0,0.768914,0.0000
82,2,0,0,0,0.0,0.768588,0.0000
83,2,0,0,0,0.0,0.758797,0.0000
84,2,0,1,1,1.0,0.764815,0.0000
85,2,0,1,1,1.0,0.773240,0.0000
86,2,1,1,0,-1.0,0.375899,0.0000
87,2,0,1,1,1.0,0.779992,0.0000
88,2,0,1,1,1.0,0.795232,0.0000
89,2,1,0,1,0.0,0.395927,0.0000
90,2,1,0,1,0.0,0.297342,0.0000
91,2,1,1,0,-1.0,0.431322,0.0000
92,2,1,1,0,-1.0,0.365797,0.0000
93,2,1,1,0,-1.0,0.360966,0.0000
94,2,1,1,0,-1.0,0.286033,0.0000
95,2,1,0,1,0.0,0.201628,0.0000
96,2,0,1,1,1.0,0.746047,0.0000
97,2,1,0,1,0.0,0.350657,0.0000
98,2,1,0,1,0.0,0.219717,0.0000
99,2,0,0,0,0.0,0.774180,0.0000
100,2,1,0,1,0.0,0.190300,0.0000
1,3,0,1,0,-1.0,0.782244,0.0000
2,3,0,0,1,0.0,0.731465,0.0000
3,3,1,1,1,1.0,0.220372,0.0000
4,3,0,1,0,-1.0,0.723050,0.0000
5,3,1,0,0,0.0,0.308248,0.0000
6,3,1,0,0,0.0,0.255573,0.0000
7,3,1,1,1,1.0,0.258235,0.0000
