trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,1.0,0.610610,0.2500
2,1,1,1,1,1.0,0.621883,0.4854
3,1,0,1,0,0.0,0.581069,0.4572
4,1,1,0,0,0.0,0.625047,0.4305
5,1,1,1,1,1.0,0.636699,0.6555
6,1,0,0,1,0.0,0.591901,0.6173
7,1,1,1,1,1.0,0.646841,0.8313
8,1,0,0,1,0.0,0.591031,0.7829
9,1,0,0,1,0.0,0.591019,0.7373
10,1,0,0,1,0.0,0.596515,0.6944
11,1,1,1,1,1.0,0.674814,0.9039
12,1,0,1,0,-1.0,0.599519,1.0000
13,1,0,0,1,0.0,0.555682,0.9418
14,1,1,1,1,1.0,0.674949,1.0000
15,1,0,1,0,0.0,0.555575,0.9418
16,1,0,1,0,-1.0,0.561615,1.0000
17,1,0,0,1,0.0,0.506889,0.9418
18,1,1,1,1,1.0,0.670095,1.0000
19,1,1,1,1,1.0,0.695518,1.0000
20,1,1,0,0,0.0,0.691343,0.9418
21,1,1,0,0,0.0,0.701499,0.8869
22,1,1,1,1,1.0,0.708843,1.0000
23,1,1,0,0,0.0,0.716166,0.9418
24,1,0,0,1,0.0,0.547366,0.8869
25,1,1,0,0,0.0,0.730920,0.8352
26,1,0,1,0,-1.0,0.544783,1.0000
27,1,1,0,0,0.0,0.687651,0.9418
28,1,1,0,0,0.0,0.694051,0.8869
29,1,0,0,1,0.0,0.452433,0.8352
30,1,1,1,1,1.0,0.701265,1.0000
31,1,1,1,1,1.0,0.703188,1.0000
32,1,1,1,1,1.0,0.716567,1.0000
33,1,0,1,0,-1.0,0.510362,1.0000
34,1,0,0,1,0.0,0.435454,0.9418
35,1,0,1,0,-1.0,0.438722,1.0000
36,1,0,0,1,0.0,0.351198,0.9418
37,1,1,0,0,0.0,0.708608,0.8869
38,1,0,0,1,0.0,0.348276,0.8352
39,1,0,1,0,-1.0,0.405562,1.0000
40,1,1,1,1,1.0,0.689216,1.0000
41,1,1,0,0,0.0,0.691754,0.9418
42,1,1,1,1,1.0,0.696964,1.0000
43,1,1,0,0,0.0,0.716074,0.9418
44,1,0,0,1,0.0,0.393671,0.8869
