trial,phase,is_a,approach,correct,reward,p_approach,arousal
1,1,1,1,1,1.0,0.610610,0.2500
2,1,1,1,1,1.0,0.603096,0.4854
3,1,0,1,0,0.0,0.571449,0.4572
4,1,1,0,0,0.0,0.585521,0.4305
5,1,1,1,1,1.0,0.598555,0.6555
6,1,0,0,1,0.0,0.579255,0.6173
7,1,1,1,1,1.0,0.603371,0.8313
8,1,0,0,1,0.0,0.579454,0.7829
9,1,0,0,1,0.0,0.575105,0.7373
10,1,0,0,1,0.0,0.582318,0.6944
11,1,1,1,1,1.0,0.621504,0.9039
12,1,0,1,0,-1.0,0.583179,1.0000
13,1,0,0,1,0.0,0.565439,0.9418
14,1,1,1,1,1.0,0.619537,1.0000
15,1,0,1,0,0.0,0.563491,0.9418
16,1,0,1,0,-1.0,0.559939,1.0000
17,1,0,0,1,0.0,0.527007,0.9418
18,1,1,1,1,1.0,0.615493,1.0000
19,1,1,1,1,1.0,0.638641,1.0000
20,1,1,0,0,0.0,0.638591,0.9418
21,1,1,0,0,0.0,0.645922,0.8869
22,1,1,1,1,1.0,0.649214,1.0000
23,1,1,0,0,0.0,0.655880,0.9418
24,1,0,0,1,0.0,0.554431,0.8869
25,1,1,0,0,0.0,0.664380,0.8352
26,1,0,1,0,-1.0,0.557162,1.0000
27,1,1,0,0,0.0,0.644455,0.9418
28,1,1,0,0,0.0,0.651448,0.8869
29,1,0,0,1,0.0,0.501941,0.8352
30,1,1,1,1,1.0,0.657071,1.0000
31,1,1,1,1,1.0,0.660522,1.0000
32,1,1,1,1,1.0,0.673982,1.0000
33,1,0,1,0,-1.0,0.541450,1.0000
34,1,0,0,1,0.0,0.500831,0.9418
35,1,0,1,0,-1.0,0.513456,1.0000
36,1,0,0,1,0.0,0.457510,0.9418
37,1,1,0,0,0.0,0.679765,0.8869
38,1,0,0,1,0.0,0.452766,0.8352
39,1,0,1,0,-1.0,0.488980,1.0000
40,1,1,1,1,1.0,0.667792,1.0000
41,1,1,0,0,0.0,0.670701,0.9418
42,1,1,1,1,1.0,0.666644,1.0000
43,1,1,0,0,0.0,0.682442,0.9418
44,1,0,0,1,0.0,0.477133,0.8869
45,1,1,1,1,1.0,0.690047,1.0000
46,1,1,1,1,1.0,0.673174,1.0000
47,1,0,1,0,0.0,0.478507,0.9418
48,1,0,0,1,0.0,0.463130,0.8869
49,1,0,1,0,-1.0,0.480394,1.0000
50,1,1,0,0,0.0,0.680790,0.9418
51,1,1,1,1,1.0,0.680182,1.0000
52,1,1,1,1,1.0,0.678980,1.0000
53,1,0,1,0,-1.0,0.433985,1.0000
54,1,1,0,0,0.0,0.687151,0.9418
55,1,1,1,1,1.0,0.695170,1.0000
56,1,0,0,1,0.0,0.385199,0.9418
57,1,1,1,1,1.0,0.706843,1.0000
58,1,0,0,1,0.0,0.437459,0.9418
59,1,0,1,0,-1.0,0.417717,1.0000
60,1,0,0,1,0.0,0.379135,0.9418
61,1,0,0,1,0.0,0.404232,0.8869
62,1,1,1,1,1.0,0.688246,1.0000
63,1,0,0,1,0.0,0.377531,0.9418
64,1,1,1,1,1.0,0.710049,1.0000
65,1,1,1,1,1.0,0.710009,1.0000
66,1,0,0,1,0.0,0.409829,0.9418
67,1,1,1,1,1.0,0.680846,1.0000
68,1,1,1,1,1.0,0.719909,1.0000
69,1,1,0,0,0.0,0.708579,0.9418
70,1,0,0,1,0.0,0.428414,0.8869
71,1,1,0,0,0.0,0.712436,0.8352
72,1,0,1,0,-1.0,0.434709,1.0000
73,1,0,0,1,0.0,0.420284,0.9418
74,1,1,1,1,1.0,0.733196,1.0000
75,1,1,0,0,0.0,0.707554,0.9418
76,1,1,1,1,1.0,0.711743,1.0000
77,1,0,0,1,0.0,0.430430,0.9418
78,1,0,0,1,0.0,0.375951,0.8869
79,1,0,0,1,0.0,0.373235,0.8352
80,1,0,1,0,0.0,0.389859,0.7866
81,1,1,1,1,1.0,0.721047,0.9908
82,1,1,1,1,0.0,0.734516,0.9331
83,1,1,1,1,1.0,0.711429,1.0000
84,1,1,0,0,0.0,0.731785,0.9418
85,1,1,1,1,1.0,0.731701,1.0000
86,1,1,1,1,0.0,0.727439,0.9418
87,1,1,0,0,0.0,0.721456,0.8869
88,1,0,1,0,-1.0,0.388994,1.0000
89,1,0,1,0,-1.0,0.388012,1.0000
90,1,1,1,1,1.0,0.699154,1.0000
91,1,1,1,1,1.0,0.722261,1.0000
92,1,1,1,1,1.0,0.725360,1.0000
93,1,0,0,1,0.0,0.347386,0.9418
94,1,1,0,0,0.0,0.743002,0.8869
95,1,0,1,0,-1.0,0.343358,1.0000
96,1,1,1,1,1.0,0.709178,1.0000
97,1,1,0,0,0.0,0.725728,0.9418
98,1,0,0,1,0.0,0.367847,0.8869
99,1,1,0,0,0.0,0.730474,0.8352
100,1,1,0,0,0.0,0.732967,0.7866
1,2,1,1,0,-1.0,0.817675,0.4652
2,2,1,0,1,0.0,0.744348,0.4381
3,2,1,1,0,-1.0,0.755194,0.7126
4,2,0,0,0,0.0,0.282973,0.6711
5,2,1,1,0,-1.0,0.700122,0.9320
6,2,0,0,0,0.0,0.330463,0.8777
7,2,0,1,1,1.0,0.309998,1.0000
8,2,1,1,0,-1.0,0.649238,1.0000
9,2,1,0,1,0.0,0.625391,0.9418
10,2,1,1,0,-1.0,0.639812,1.0000
11,2,0,1,1,1.0,0.389222,1.0000
12,2,1,1,0,-1.0,0.612014,1.0000
13,2,1,1,0,-1.0,0.590393,1.0000
14,2,0,0,0,0.0,0.359579,0.9418
15,2,1,0,1,0.0,0.564961,0.8869
16,2,1,0,1,0.0,0.567669,0.8352
17,2,0,0,0,0.0,0.364530,0.7866
18,2,0,0,0,0.0,0.345699,0.7408
19,2,1,1,0,-1.0,0.580433,0.9976
20,2,0,1,1,1.0,0.350589,1.0000
21,2,1,0,1,0.0,0.543048,0.9418
22,2,0,0,0,0.0,0.408503,0.8869
23,2,0,1,1,1.0,0.403561,1.0000
24,2,1,1,0,-1.0,0.537927,1.0000
25,2,1,1,0,-1.0,0.517948,1.0000
26,2,1,1,0,-1.0,0.490458,1.0000
27,2,1,1,0,-1.0,0.422924,1.0000
28,2,0,0,0,0.0,0.394732,0.9418
29,2,0,0,0,0.0,0.405170,0.8869
30,2,0,0,0,0.0,0.417976,0.8352
31,2,0,1,1,1.0,0.399213,1.0000
32,2,0,0,0,0.0,0.444756,0.9418
33,2,1,1,0,-1.0,0.416194,1.0000
34,2,0,0,0,0.0,0.441439,0.9418
35,2,1,1,0,-1.0,0.383143,1.0000
36,2,0,1,1,0.0,0.427974,0.9418
37,2,1,0,1,0.0,0.372403,0.8869
38,2,0,0,0,0.0,0.459050,0.8352
39,2,1,0,1,0.0,0.349177,0.7866
40,2,0,0,0,0.0,0.423373,0.7408
41,2,0,0,0,0.0,0.421830,0.6976
42,2,0,1,1,1.0,0.426838,0.9070
43,2,1,0,1,0.0,0.357017,0.8542
44,2,0,0,0,0.0,0.483643,0.8044
45,2,1,0,1,0.0,0.352679,0.7576
46,2,0,0,0,0.0,0.463874,0.7134
47,2,0,0,0,0.0,0.476409,0.6719
48,2,0,0,0,0.0,0.495133,0.6327
49,2,1,1,0,0.0,0.333417,0.5959
50,2,0,1,1,1.0,0.465130,0.8112
51,2,1,1,0,0.0,0.375729,0.7639
52,2,1,0,1,0.0,0.357894,0.7194
